,,,,Class,Property
"7818.26667,7818.26667,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/espnOverall",7818.26667,7818.26667,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/espnOverall,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/espnOverall
"1928.74627,1928.74627,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/birthDate",1928.74627,1928.74627,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/birthDate,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/birthDate
"4.12987,4.12987,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/247Stars",4.12987,4.12987,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/247Stars,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/247Stars
"4.20635,4.20635,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/espnStars",4.20635,4.20635,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/espnStars,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/espnStars
"3.80702,3.80702,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftround",3.80702,3.80702,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftround,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/draftround
"1966.81818,1966.81818,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/debutyear",1966.81818,1966.81818,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/debutyear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/debutyear
"1974.63636,1974.63636,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/finalyear",1974.63636,1974.63636,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/finalyear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/finalyear
"54.90566,54.90566,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftpick",54.90566,54.90566,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftpick,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/draftpick
"3551362957.07018,3551362957.07018,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/image",3551362957,3551362957,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/image,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/image
"736285927.06000,736285927.06000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/wikiPageRevisionID",736285927.1,736285927.1,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/wikiPageRevisionID,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/ontology/wikiPageRevisionID
"18166949.50000,18166949.50000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/wikiPageID",18166949.5,18166949.5,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/wikiPageID,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/ontology/wikiPageID
"44.89000,44.89000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/wins",44.89,44.89,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/wins,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/wins
"10.66000,10.66000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/losses",10.66,10.66,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/losses,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/losses
"60.39000,60.39000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/total",60.39,60.39,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/total,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/total
"21.76000,21.76000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/ko",21.76,21.76,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/ko,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/ko
"4.44000,4.44000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/draws",4.44,4.44,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/draws,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/draws
"1.71883,1.71883,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/height",1.71883,1.71883,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/ontology/height
"171.88260,171.88260,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/Person/height",171.8826,171.8826,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/ontology/Person/height
"0.67000,0.67000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/noContests",0.67,0.67,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/noContests,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/noContests
"85.86500,85.86500,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/reach",85.865,85.865,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/reach,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/reach
"67.63019,67.63019,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/Person/weight",67.63019,67.63019,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/ontology/Person/weight
"67630.18800,67630.18800,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/weight",67630.188,67630.188,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/weight,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/ontology/weight
"20.31000,20.31000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/koWins",20.31,20.31,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/koWins,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/koWins
"10.93000,10.93000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/decWins",10.93,10.93,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/decWins,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/decWins
"89641.91000,89641.91000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/id",89641.91,89641.91,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/id,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/id
"3.05000,3.05000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/decLosses",3.05,3.05,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/decLosses,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/decLosses
