player_num,position,player_name,player_name,club,age,height,weight,birthplace,status,height in cm,weight in grams
96,20,D,A.J. DeLaGarza,LA Galaxy,27,5' 9'',150,USA,Active,175.26,68038.8555
97,14,M,Nick DeLeon,D.C. United,24,5' 10'',170,USA,Active,177.8,77110.7029
98,NA,M,Marco Delgado,Toronto FC,19,5' 9'',146,USA,Active,175.26,66224.48602
99,12,M,Edder Delgado,Honduras,28,5' 9'',NA,Honduras,Active,175.26,#VALUE!
100,2,F,Clint Dempsey,Seattle Sounders FC,31,6' 1'',170,USA,Active,185.42,77110.7029
101,24,GK,Tyler Deric,Houston Dynamo,26,6' 3'',185,USA,Active,190.5,83914.58845
102,10,M,Mauro Díaz,FC Dallas,23,5' 7'',137,Argentina,Active,170.18,62142.15469
103,7,F,Bright Dike,Toronto FC,27,6',213,United States,Active,182.88,96615.17481
104,10,M,Yannick Djalo,San Jose Earthquakes,28,5' 6'',140,Guinea-Bissau,Active,167.64,63502.9318
105,NA,F,Guilherme do Prado,Chicago Fire,33,6' 3'',180,Brazil,Active,190.5,81646.6266
106,33,M,Marco Donadel,Montreal Impact,31,5' 10'',160,Italy,Active,177.8,72574.7792
107,NA,D,Patrick Doody,Chicago Fire,22,6',180,United States,Active,182.88,81646.6266
108,12,M,Andy Dorman,New England Revolution,32,6' 1'',160,England,Active,185.42,72574.7792
109,30,F,Conor Doyle,D.C. United,23,6' 2'',172,USA,Active,187.96,78017.88764
110,NA,M,Andrew Driver,D.C. United,27,5' 9'',152,England,Active,175.26,68946.04024
111,11,M,Dilly Duka,Montreal Impact,25,5' 9'',160,USA,Active,175.26,72574.7792
112,2,D,Todd Dunivant,LA Galaxy,34,6' 1'',175,USA,Active,185.42,79378.66475
113,NA,M,Matt Dunn,New York City FC,20,5' 10'',163,USA,Active,177.8,73935.55631
114,25,D,Chris Duvall,New York Red Bulls,23,5' 10'',150,USA,Active,177.8,68038.8555
115,14,F,Dom Dwyer,Sporting Kansas City,24,5' 9'',180,England,Active,175.26,81646.6266
116,50,GK,Andrew Dykstra,D.C. United,29,6' 4'',195,USA,Active,193.04,88450.51215
117,NA,D,Otis Earle,,22,6',170,England,Active,182.88,77110.7029
118,21,M,Maurice Edu,Philadelphia Union,28,6',170,USA,Active,182.88,77110.7029
119,4,D,Kevin Ellis,Sporting Kansas City,23,5' 9'',160,USA,Active,175.26,72574.7792
120,19,F,Charles Eloundou,Colorado Rapids,20,5' 7'',155,Cameroon,Active,170.18,70306.81735
121,9,F,Fabián Espíndola,D.C. United,29,5' 9'',160,Argentina,Active,175.26,72574.7792
122,27,M,Roger Espinoza,Sporting Kansas City,28,5' 11'',170,Honduras,Active,180.34,77110.7029
123,3,M/F,David Estrada,D.C. United,26,5' 8'',160,Mexico,Active,172.72,72574.7792
124,NA,M,Estrela,Orlando City SC,19,5' 7'',150,Angola,Active,170.18,68038.8555
125,3,M,Brad Evans,Seattle Sounders FC,29,6' 1'',160,USA,Active,185.42,72574.7792
126,33,D,Fábinho,Philadelphia Union,29,5' 7'',149,Brazil,Active,170.18,67585.26313
127,14,F,Diego Fagundez,New England Revolution,19,5' 8'',140,Uruguay,Active,172.72,63502.9318
128,2,D,Andrew Farrell,New England Revolution,22,5' 11'',165,USA,Active,180.34,74842.74105
129,10,M,Benny Feilhaber,Sporting Kansas City,29,5' 9'',160,Brazil,Active,175.26,72574.7792
130,22,M,Leo Fernandes,Philadelphia Union,23,6' 1'',165,,Active,185.42,74842.74105
131,1,GK,Lalo Fernandez,Real Salt Lake,22,6' 3'',170,Mexico,Active,190.5,77110.7029
132,10,F,Gastón Fernández,Portland Timbers,31,5' 8'',160,Argentina,Active,172.72,72574.7792
133,NA,M,Collin Fernandez,Chicago Fire,17,5' 8'',140,,Active,172.72,63502.9318
134,NA,F,Robbie Findley,Toronto FC,29,5' 9'',165,USA,Active,175.26,74842.74105
135,13,M,Ethan Finlay,Columbus Crew SC,24,5' 9'',165,USA,Active,175.26,74842.74105
