player_num,position,player_name,player_name,club,age,height,weight,birthplace,status,height in cm,weight in grams,weight in kg
27,NA,M,Leandro Barrera,San Jose Earthquakes,23,5' 8'',171,Argentina,Active,172.72,77564.29527,77.56429527
28,19,F,Chad Barrett,Seattle Sounders FC,29,5' 11'',185,USA,Active,180.34,83914.58845,83.91458845
29,21,D,Chad Barson,Columbus Crew SC,23,5' 10'',170,USA,Active,177.8,77110.7029,77.1107029
30,21,D/M,DaMarcus Beasley,Houston Dynamo,32,5' 8'',145,USA,Active,172.72,65770.89365,65.77089365
31,5,M,Kyle Beckerman,Real Salt Lake,32,5' 11'',165,USA,Active,180.34,74842.74105,74.84274105
32,29,F,Adam Bedell,Columbus Crew SC,23,6' 6'',204,USA,Active,198.12,92532.84348,92.53284348
33,33,D/M,Steven Beitashour,Vancouver Whitecaps FC,27,5' 10'',170,USA,Active,177.8,77110.7029,77.1107029
34,8,M,Kyle Bekker,Toronto FC,24,5' 9'',165,Canada,Active,175.26,74842.74105,74.84274105
35,27,M,Louis Béland-Goyette,Montreal Impact,19,5' 8'',140,Canada,Active,172.72,63502.9318,63.5029318
36,2,D,Tony Beltran,Real Salt Lake,27,5' 8'',150,USA,Active,172.72,68038.8555,68.0388555
37,12,GK,Joe Bendik,Toronto FC,25,6' 2'',217,USA,Active,187.96,98429.54429,98.42954429
38,5,D,Víctor Bernárdez,San Jose Earthquakes,32,6' 2'',190,Honduras,Active,187.96,86182.5503,86.1825503
39,12,GK,John Berner,Colorado Rapids,23,6' 3'',205,USA,Active,190.5,92986.43585,92.98643585
40,8,M,Patrice Bernier,Montreal Impact,35,5' 9'',170,Canada,Active,175.26,77110.7029,77.1107029
41,4,D,Austin Berry,Philadelphia Union,26,6' 2'',188,USA,Active,187.96,85275.36556,85.27536556
42,5,D,Matt Besler,Sporting Kansas City,27,6',170,USA,Active,182.88,77110.7029,77.1107029
43,NA,M,Nick Besler,,21,6' 1'',165,USA,Active,185.42,74842.74105,74.84274105
44,16,F,Claudio Bieler,Sporting Kansas City,30,5' 11'',171,Argentina,Active,180.34,77564.29527,77.56429527
45,15,D,Steve Birnbaum,D.C. United,23,6' 2'',180,USA,Active,187.96,81646.6266,81.6466266
46,1,GK,Andre Blake,Philadelphia Union,24,6' 4'',175,Jamaica,Active,193.04,79378.66475,79.37866475
47,28,D,Mark Bloom,Toronto FC,27,5' 11'',162,USA,Active,180.34,73481.96394,73.48196394
48,NA,D,Nat Borchers,Portland Timbers,33,6' 2'',175,USA,Active,187.96,79378.66475,79.37866475
49,32,D,Bobby Boswell,D.C. United,31,6' 2'',185,USA,Active,187.96,83914.58845,83.91458845
50,21,M,Rubén Bover,New York Red Bulls,22,5' 7'',144,Spain,Active,170.18,65317.30128,65.31730128
51,NA,F,Tristan Bowen,New England Revolution,23,5' 11'',170,USA,Active,180.34,77110.7029,77.1107029
52,4,M,Michael Bradley,Toronto FC,27,6' 2'',179,USA,Active,187.96,81193.03423,81.19303423
53,NA,D,Jeb Brovsky,New York City FC,26,6' 1'',170,USA,Active,185.42,77110.7029,77.1107029
54,26,F,Deshorn Brown,Colorado Rapids,24,6' 2'',170,Jamaica,Active,187.96,77110.7029,77.1107029
55,12,F,Will Bruin,Houston Dynamo,25,6' 2'',194,USA,Active,187.96,87996.91978,87.99691978
56,10,F,Teal Bunbury,New England Revolution,24,6' 2'',175,Canada,Active,187.96,79378.66475,79.37866475
57,4,D,Marc Burch,Colorado Rapids,30,6' 1'',180,USA,Active,185.42,81646.6266,81.6466266
58,NA,D,Bobby Burling,Colorado Rapids,30,6' 5'',195,USA,Active,195.58,88450.51215,88.45051215
59,30,G,Evan Bush,Montreal Impact,28,6' 1'',186,USA,Active,185.42,84368.18082,84.36818082
60,23,M,Michael Bustamante,New York Red Bulls,25,5' 9'',160,Colombia,Active,175.26,72574.7792,72.5747792
61,NA,D,Victor Cabrera,Montreal Impact,21,6',165,Argentina,Active,182.88,74842.74105,74.84274105
62,17,M,Tim Cahill,New York Red Bulls,35,5' 10'',150,Australia,Active,177.8,68038.8555,68.0388555
63,6,M,Scott Caldwell,New England Revolution,23,5' 8'',150,USA,Active,172.72,68038.8555,68.0388555
64,13,D,Steven Caldwell,Toronto FC,34,6' 2'',195,Scotland,Active,187.96,88450.51215,88.45051215
65,NA,F,Caleb Calvert,Colorado Rapids,18,6' 2'',160,USA,Active,187.96,72574.7792,72.5747792
66,6,D,Hassoun Camara,Montreal Impact,28,6' 2'',190,France,Active,187.96,86182.5503,86.1825503
67,44,GK,Marco Carducci,Vancouver Whitecaps FC,18,6' 1'',185,Canada,Active,185.42,83914.58845,83.91458845
68,7,M,Brian Carroll,Philadelphia Union,33,5' 10'',155,USA,Active,177.8,70306.81735,70.30681735
69,NA,M,Tony Cascio,Orlando City SC,24,6',170,USA,Active,182.88,77110.7029,77.1107029
70,24,GK,Santiago Castaño,New York Red Bulls,19,6' 2'',184,USA,Active,187.96,83460.99608,83.46099608
71,11,F,Fabián Castillo,FC Dallas,22,5' 8'',150,Colombia,Active,172.72,68038.8555,68.0388555
72,7,M,Cordell Cato,San Jose Earthquakes,22,5' 9'',150,Trinidad and Tobago,Active,175.26,68038.8555,68.0388555
73,17,M,Darwin Cerén,Orlando City SC,25,5' 7'',165,El Salvador,Active,170.18,74842.74105,74.84274105
74,21,M,Diego Chara,Portland Timbers,28,5' 8'',150,Colombia,Active,172.72,68038.8555,68.0388555
75,6,M,Ian Christianson,New York Red Bulls,23,5' 11'',155,United States,Active,180.34,70306.81735,70.30681735
76,13,M,Ricardo Clark,Houston Dynamo,31,5' 10'',160,USA,Active,177.8,72574.7792,72.5747792
77,1,GK,Steve Clark,Columbus Crew SC,28,6' 2'',192,USA,Active,187.96,87089.73504,87.08973504
78,34,F,Caleb Clarke,Vancouver Whitecaps FC,21,6' 1'',165,Canada,Active,185.42,74842.74105,74.84274105
79,20,M,Jorge Claros,Sporting Kansas City,29,5' 9'',155,Honduras,Active,175.26,70306.81735,70.30681735
80,16,D,A.J. Cochran,Houston Dynamo,21,6' 3'',195,USA,Active,190.5,88450.51215,88.45051215
81,16,D,Greg Cochrane,Chicago Fire,24,5' 8'',140,USA,Active,172.72,63502.9318,63.5029318
82,30,M,Razvan Cocis,Chicago Fire,31,5' 11'',161,Romania,Active,180.34,73028.37157,73.02837157
83,NA,D,Aurélien Collin,Orlando City SC,28,6' 2'',169,France,Active,187.96,76657.11053,76.65711053
84,NA,D,Gustavo Silva Conceicao,Orlando City SC,28,6' 1'',198,Brazil,Active,185.42,89811.28926,89.81128926
85,33,F,Kenny Cooper,Seattle Sounders FC,30,6' 3'',210,USA,Active,190.5,95254.3977,95.2543977
86,NA,F,Coy Craft,FC Dallas,17,6' 2'',175,USA,Active,187.96,79378.66475,79.37866475
87,3,D,Warren Creavalle,Toronto FC,24,5' 11'',170,USA,Active,180.34,77110.7029,77.1107029
88,40,GK,Maxime Crépeau,Montreal Impact,20,5' 11'',199,Canada,Active,180.34,90264.88163,90.26488163
89,4,M,Sam Cronin,San Jose Earthquakes,28,5' 10'',165,USA,Active,177.8,74842.74105,74.84274105
90,44,D/M,Danny Cruz,Philadelphia Union,25,5' 8'',170,USA,Active,172.72,77110.7029,77.1107029
91,9,F,Charlie Davies,New England Revolution,28,5' 10'',175,USA,Active,177.8,79378.66475,79.37866475
92,11,M,Brad Davis,Houston Dynamo,33,5' 11'',170,USA,Active,180.34,77110.7029,77.1107029
93,NA,M,Sean Davis,New York Red Bulls,21,6',165,,Active,182.88,74842.74105,74.84274105
94,22,D,Christian Dean,Vancouver Whitecaps FC,21,6' 3'',198,USA,Active,190.5,89811.28926,89.81128926
95,18,F,Jermain Defoe,Toronto FC,32,5' 7'',143,England,Active,170.18,64863.70891,64.86370891
96,20,D,A.J. DeLaGarza,LA Galaxy,27,5' 9'',150,USA,Active,175.26,68038.8555,68.0388555
97,14,M,Nick DeLeon,D.C. United,24,5' 10'',170,USA,Active,177.8,77110.7029,77.1107029
98,NA,M,Marco Delgado,Toronto FC,19,5' 9'',146,USA,Active,175.26,66224.48602,66.22448602
99,12,M,Edder Delgado,Honduras,28,5' 9'',NA,Honduras,Active,175.26,#VALUE!,#VALUE!
100,2,F,Clint Dempsey,Seattle Sounders FC,31,6' 1'',170,USA,Active,185.42,77110.7029,77.1107029
101,24,GK,Tyler Deric,Houston Dynamo,26,6' 3'',185,USA,Active,190.5,83914.58845,83.91458845
102,10,M,Mauro Díaz,FC Dallas,23,5' 7'',137,Argentina,Active,170.18,62142.15469,62.14215469
103,7,F,Bright Dike,Toronto FC,27,6',213,United States,Active,182.88,96615.17481,96.61517481
104,10,M,Yannick Djalo,San Jose Earthquakes,28,5' 6'',140,Guinea-Bissau,Active,167.64,63502.9318,63.5029318
105,NA,F,Guilherme do Prado,Chicago Fire,33,6' 3'',180,Brazil,Active,190.5,81646.6266,81.6466266
106,33,M,Marco Donadel,Montreal Impact,31,5' 10'',160,Italy,Active,177.8,72574.7792,72.5747792
107,NA,D,Patrick Doody,Chicago Fire,22,6',180,United States,Active,182.88,81646.6266,81.6466266
108,12,M,Andy Dorman,New England Revolution,32,6' 1'',160,England,Active,185.42,72574.7792,72.5747792
109,30,F,Conor Doyle,D.C. United,23,6' 2'',172,USA,Active,187.96,78017.88764,78.01788764
110,NA,M,Andrew Driver,D.C. United,27,5' 9'',152,England,Active,175.26,68946.04024,68.94604024
111,11,M,Dilly Duka,Montreal Impact,25,5' 9'',160,USA,Active,175.26,72574.7792,72.5747792
112,2,D,Todd Dunivant,LA Galaxy,34,6' 1'',175,USA,Active,185.42,79378.66475,79.37866475
113,NA,M,Matt Dunn,New York City FC,20,5' 10'',163,USA,Active,177.8,73935.55631,73.93555631
114,25,D,Chris Duvall,New York Red Bulls,23,5' 10'',150,USA,Active,177.8,68038.8555,68.0388555
115,14,F,Dom Dwyer,Sporting Kansas City,24,5' 9'',180,England,Active,175.26,81646.6266,81.6466266
116,50,GK,Andrew Dykstra,D.C. United,29,6' 4'',195,USA,Active,193.04,88450.51215,88.45051215
117,NA,D,Otis Earle,,22,6',170,England,Active,182.88,77110.7029,77.1107029
118,21,M,Maurice Edu,Philadelphia Union,28,6',170,USA,Active,182.88,77110.7029,77.1107029
119,4,D,Kevin Ellis,Sporting Kansas City,23,5' 9'',160,USA,Active,175.26,72574.7792,72.5747792
120,19,F,Charles Eloundou,Colorado Rapids,20,5' 7'',155,Cameroon,Active,170.18,70306.81735,70.30681735
121,9,F,Fabián Espíndola,D.C. United,29,5' 9'',160,Argentina,Active,175.26,72574.7792,72.5747792
122,27,M,Roger Espinoza,Sporting Kansas City,28,5' 11'',170,Honduras,Active,180.34,77110.7029,77.1107029
123,3,M/F,David Estrada,D.C. United,26,5' 8'',160,Mexico,Active,172.72,72574.7792,72.5747792
124,NA,M,Estrela,Orlando City SC,19,5' 7'',150,Angola,Active,170.18,68038.8555,68.0388555
125,3,M,Brad Evans,Seattle Sounders FC,29,6' 1'',160,USA,Active,185.42,72574.7792,72.5747792
126,33,D,Fábinho,Philadelphia Union,29,5' 7'',149,Brazil,Active,170.18,67585.26313,67.58526313
127,14,F,Diego Fagundez,New England Revolution,19,5' 8'',140,Uruguay,Active,172.72,63502.9318,63.5029318
128,2,D,Andrew Farrell,New England Revolution,22,5' 11'',165,USA,Active,180.34,74842.74105,74.84274105
129,10,M,Benny Feilhaber,Sporting Kansas City,29,5' 9'',160,Brazil,Active,175.26,72574.7792,72.5747792
130,22,M,Leo Fernandes,Philadelphia Union,23,6' 1'',165,,Active,185.42,74842.74105,74.84274105
131,1,GK,Lalo Fernandez,Real Salt Lake,22,6' 3'',170,Mexico,Active,190.5,77110.7029,77.1107029
132,10,F,Gastón Fernández,Portland Timbers,31,5' 8'',160,Argentina,Active,172.72,72574.7792,72.5747792
133,NA,M,Collin Fernandez,Chicago Fire,17,5' 8'',140,,Active,172.72,63502.9318,63.5029318
134,NA,F,Robbie Findley,Toronto FC,29,5' 9'',165,USA,Active,175.26,74842.74105,74.84274105
135,13,M,Ethan Finlay,Columbus Crew SC,24,5' 9'',165,USA,Active,175.26,74842.74105,74.84274105
136,NA,GK,Akira Fitzgerald,New York City FC,27,5' 9'',174,Japan,Active,175.26,78925.07238,78.92507238
137,26,M,George Fochive,Portland Timbers,22,5' 9'',172,USA,Active,175.26,78017.88764,78.01788764
138,NA,GK,Josh Ford,Orlando City SC,27,6',175,USA,Active,182.88,79378.66475,79.37866475
139,20,D,Shaun Francis,San Jose Earthquakes,28,6',165,Jamaica,Active,182.88,74842.74105,74.84274105
140,14,D,Waylon Francis,Columbus Crew SC,24,5' 9'',160,Costa Rica,Active,175.26,72574.7792,72.5747792
141,5,D,Sean Franklin,D.C. United,29,5' 10'',160,USA,Active,177.8,72574.7792,72.5747792
142,24,G,Stefan Frei,Seattle Sounders FC,28,6' 3'',195,Switzerland,Active,190.5,88450.51215,88.45051215
143,38,M,Kianz Froese,Vancouver Whitecaps FC,18,5' 9'',170,Cuba,Active,175.26,77110.7029,77.1107029
144,28,D,Raymon Gaddis,Philadelphia Union,24,5' 9'',151,USA,Active,175.26,68492.44787,68.49244787
145,50,M,Jérémy Gagnon-Laparé,Montreal Impact,19,5' 11'',165,Canada,Active,180.34,74842.74105,74.84274105
146,25,M,Romain Gall,Columbus Crew SC,19,5' 9'',140,France,Active,175.26,63502.9318,63.5029318
147,27,M,Boniek Garcia,Houston Dynamo,30,5' 9'',150,Honduras,Active,175.26,68038.8555,68.0388555
148,13,F,Olmes García,Real Salt Lake,22,6',175,Colombia,Active,182.88,79378.66475,79.37866475
149,26,M,Danny Garcia,FC Dallas,21,5' 5'',140,USA,Active,165.1,63502.9318,63.5029318
150,33,D,Dan Gargan,LA Galaxy,32,5' 11'',175,USA,Active,180.34,79378.66475,79.37866475
151,19,M,Luis Garrido,Houston Dynamo,24,5' 7'',165,Honduras,Active,170.18,74842.74105,74.84274105
152,6,D,Eric Gehrig,Chicago Fire,27,6' 1'',160,USA,Active,185.42,72574.7792,72.5747792
153,23,M,Kevan George,Columbus Crew SC,24,6' 2'',170,Trinidad and Tobago,Active,187.96,77110.7029,77.1107029
154,21,M,Luis Gil,Real Salt Lake,21,5' 10'',155,USA,Active,177.8,70306.81735,70.30681735
155,9,F,Gilberto,Toronto FC,25,5' 10'',160,Brazil,Active,177.8,72574.7792,72.5747792
156,14,D,Justen Glad,Real Salt Lake,17,6',145,USA,Active,182.88,65770.89365,65.77089365
157,11,M,Jackson Gonçalves,Toronto FC,26,5' 9'',155,Brazil,Active,175.26,70306.81735,70.30681735
158,23,D,José Gonçalves,New England Revolution,29,6' 2'',180,Portugal,Active,187.96,81646.6266,81.6466266
159,12,D,Leo González,Seattle Sounders FC,34,6' 1'',174,Costa Rica,Active,185.42,78925.07238,78.92507238
160,4,D,Omar Gonzalez,LA Galaxy,26,6' 5'',205,USA,Active,195.58,92986.43585,92.98643585
161,44,GK,Jesse Gonzalez,FC Dallas,19,6' 4'',180,USA,Active,193.04,81646.6266,81.6466266
162,44,D,Clarence Goodson,San Jose Earthquakes,32,6' 4'',180,USA,Active,193.04,81646.6266,81.6466266
163,9,F,Alan Gordon,LA Galaxy,33,6' 3'',190,USA,Active,190.5,86182.5503,86.1825503
164,NA,M,Ned Grabavoy,New York City FC,31,5' 7'',160,USA,Active,170.18,72574.7792,72.5747792
165,NA,G,Andy Gruenebaum,San Jose Earthquakes,32,6' 1'',175,USA,Active,185.42,79378.66475,79.37866475
166,17,D,Nick Hagglund,Toronto FC,22,6' 1'',193,USA,Active,185.42,87543.32741,87.54332741
167,94,M,Marlon Hairston,Colorado Rapids,2015,6',157,USA,Active,182.88,71214.00209,71.21400209
168,NA,M,Jeremy Hall,New England Revolution,26,5' 10'',177,USA,Active,177.8,80285.84949,80.28584949
169,NA,GK,Tally Hall,Orlando City SC,29,6' 4'',215,USA,Active,193.04,97522.35955,97.52235955
170,NA,M/D,Markus Halsti,D.C. United,30,6' 1'',185,Finland,Active,185.42,83914.58845,83.91458845
171,28,GK,Bill Hamid,D.C. United,24,6' 3'',225,USA,Active,190.5,102058.2833,102.0582833
172,22,F,Jordan Hamilton,Toronto FC,18,6',194,Canada,Active,182.88,87996.91978,87.99691978
173,2,D,Ty Harden,San Jose Earthquakes,30,6' 1'',190,USA,Active,185.42,86182.5503,86.1825503
174,NA,D,Michael Harrington,Colorado Rapids,28,6',170,USA,Active,182.88,77110.7029,77.1107029
175,NA,M/F,Atiba Harris,FC Dallas,30,6' 3'',185,Saint Kitts and Nevis,Active,190.5,83914.58845,83.91458845
176,2,D,Jordan Harvey,Vancouver Whitecaps FC,30,5' 11'',170,USA,Active,180.34,77110.7029,77.1107029
177,12,M,Harrison Heath,Orlando City SC,18,5' 11'',160,England,Active,180.34,72574.7792,72.5747792
178,24,D,Matt Hedges,FC Dallas,24,6' 4'',185,USA,Active,193.04,83914.58845,83.91458845
179,NA,D,Jason Hernandez,New York City FC,31,5' 10'',170,USA,Active,177.8,77110.7029,77.1107029
180,3,D,Moises Hernandez,FC Dallas,22,6',155,USA,Active,182.88,70306.81735,70.30681735
181,10,F,Federico Higuain,Columbus Crew SC,30,5' 8'',165,Argentina,Active,172.72,74842.74105,74.84274105
182,NA,F,Chandler Hoffman,Houston Dynamo,24,6',160,USA,Active,182.88,72574.7792,72.5747792
183,12,M,Ryan Hollingshead,FC Dallas,23,6' 1'',180,USA,Active,185.42,81646.6266,81.6466266
184,29,F,Antoine Hoppenot,Philadelphia Union,24,5' 8'',155,USA,Active,172.72,70306.81735,70.30681735
185,18,D,David Horst,Houston Dynamo,29,6' 4'',210,USA,Active,193.04,95254.3977,95.2543977
186,19,F/M,Erik Hurtado,Vancouver Whitecaps FC,24,5' 10'',180,USA,Active,177.8,81646.6266,81.6466266
187,6,M,Baggio Husidic,LA Galaxy,27,6' 1'',172,Bosnia and Herzegovina,Active,185.42,78017.88764,78.01788764
188,NA,F,Kennedy Igboananike,Chicago Fire,25,5' 9'',154,Nigeria,Active,175.26,69853.22498,69.85322498
189,NA,D,Samuel Inkoom,Houston Dynamo,25,5' 10'',NA,Ghana,Active,177.8,#VALUE!,#VALUE!
190,1,GK,Clint Irwin,Colorado Rapids,25,6' 3'',195,USA,Active,190.5,88450.51215,88.45051215
191,24,M,Stefan Ishizaki,LA Galaxy,32,5' 11'',165,Sweden,Active,180.34,74842.74105,74.84274105
192,24,F,Anthony Jackson-Hamel,Montreal Impact,21,6' 1'',180,USA,Active,185.42,81646.6266,81.6466266
193,NA,M,Andrew Jacobson,New York City FC,29,6' 2'',185,USA,Active,187.96,83914.58845,83.91458845
194,14,F,Adam Jahn,San Jose Earthquakes,24,6' 3'',185,USA,Active,190.5,83914.58845,83.91458845
195,23,F,Sebastian Jaime,Real Salt Lake,27,5' 11'',160,Argentina,Active,180.34,72574.7792,72.5747792
196,38,F,Bradford Jamieson,LA Galaxy,18,6' 1'',165,USA,Active,185.42,74842.74105,74.84274105
197,25,M,Jared Jeffrey,D.C. United,24,5' 11'',165,USA,Active,180.34,74842.74105,74.84274105
198,13,M,Jack Jewsbury,Portland Timbers,33,6',185,USA,Active,182.88,83914.58845,83.91458845
199,12,M,Hector Jimenez,Columbus Crew SC,26,5' 9'',140,USA,Active,175.26,63502.9318,63.5029318
200,NA,D,George John,New York City FC,27,6' 3'',203,USA,Active,190.5,92079.25111,92.07925111
201,7,F,Eddie Johnson,D.C. United,30,6',180,USA,Active,182.88,81646.6266,81.6466266
202,4,M,Will Johnson,Portland Timbers,27,5' 10'',160,Canada,Active,177.8,72574.7792,72.5747792
203,25,GK,Sean Johnson,Chicago Fire,25,6' 3'',217,USA,Active,190.5,98429.54429,98.42954429
204,14,F,Jason Johnson,Houston Dynamo,24,6',180,Jamaica,Active,182.88,81646.6266,81.6466266
205,13,M,Jermaine Jones,New England Revolution,33,6',170,Germany,Active,182.88,77110.7029,77.1107029
206,NA,D/M,Joevin Jones,Chicago Fire,23,5' 8'',160,Trinidad,Active,172.72,72574.7792,72.5747792
207,NA,F,Darwin Jones,Seattle Sounders FC,22,5' 10'',175,,Active,177.8,79378.66475,79.37866475
208,6,M,José Mari,Colorado Rapids,27,5' 11'',150,Spain,Active,180.34,68038.8555,68.0388555
209,40,D,Igor Julião,Sporting Kansas City,20,5' 8'',145,Brazil,Active,172.72,65770.89365,65.77089365
210,19,M,Juninho,LA Galaxy,26,5' 7'',140,Brazil,Active,170.18,63502.9318,63.5029318
211,10,M,Kaká,Orlando City SC,32,6' 1'',181,Brazil,Active,185.42,82100.21897,82.10021897
212,NA,F,Kei Kamara,Columbus Crew SC,30,6' 3'',186,Sierra Leone,Active,190.5,84368.18082,84.36818082
213,1,GK,Alec Kann,Chicago Fire,24,6' 4'',190,USA,Active,193.04,86182.5503,86.1825503
214,7,F,Robbie Keane,LA Galaxy,34,5' 9'',160,Ireland,Active,175.26,72574.7792,72.5747792
215,22,D,Stephen Keel,FC Dallas,31,6',185,USA,Active,182.88,83914.58845,83.91458845
216,33,D,Taylor Kemp,D.C. United,24,5' 11'',153,USA,Active,180.34,69399.63261,69.39963261
217,21,GK,Jon Kempin,Sporting Kansas City,21,6' 1'',170,USA,Active,185.42,77110.7029,77.1107029
218,NA,GK,Dan Kennedy,FC Dallas,32,6' 1'',200,USA,Active,185.42,90718.474,90.718474
219,23,M/D,Perry Kitchen,D.C. United,22,6',160,USA,Active,182.88,72574.7792,72.5747792
220,15,D,Chris Klute,Colorado Rapids,24,6' 1'',172,USA,Active,185.42,78017.88764,78.01788764
221,18,D,Zat Knight,Colorado Rapids,34,6' 6'',225,England,Active,198.12,102058.2833,102.0582833
222,18,G,Brad Knighton,New England Revolution,29,6' 1'',180,USA,Active,185.42,81646.6266,81.6466266
223,16,M,Daigo Kobayashi,New England Revolution,31,5' 10'',150,Japan,Active,177.8,68038.8555,68.0388555
224,28,M,Gershon Koffie,Vancouver Whitecaps FC,23,6',175,Ghana,Active,182.88,79378.66475,79.37866475
225,1,GK,Chris Konopka,Toronto FC,29,6' 5'',228,USA,Active,195.58,103419.0604,103.4190604
226,22,D,Chris Korb,D.C. United,27,5' 9'',160,USA,Active,175.26,72574.7792,72.5747792
227,15,M,JJ Koval,San Jose Earthquakes,22,6' 1'',175,USA,Active,185.42,79378.66475,79.37866475
228,11,M,Aaron Kovar,Seattle Sounders FC,21,5' 10'',155,USA,Active,177.8,70306.81735,70.30681735
229,23,D,Krzysztof Krol,Montreal Impact,27,6' 1'',161,Poland,Active,185.42,73028.37157,73.02837157
230,NA,GK,Eric Kronberg,Montreal Impact,31,6' 5'',210,USA,Active,195.58,95254.3977,95.2543977
231,NA,GK,Adam Kwarasey,Portland Timbers,27,6' 3'',180,Norway,Active,190.5,81646.6266,81.6466266
232,15,M,Matías Laba,Vancouver Whitecaps FC,23,5' 9'',154,Argentina,Active,175.26,69853.22498,69.85322498
233,16,D,Connor Lade,New York Red Bulls,25,5' 7'',145,USA,Active,170.18,65770.89365,65.77089365
234,13,M,Michael Lahoud,Philadelphia Union,28,5' 8'',162,Sierra Leone,Active,172.72,73481.96394,73.48196394
235,28,GK,Matt Lampson,Columbus Crew SC,25,6' 3'',190,USA,Active,190.5,86182.5503,86.1825503
236,20,M,Jeff Larentowicz,Chicago Fire,31,6' 1'',175,USA,Active,185.42,79378.66475,79.37866475
237,NA,F,Cyle Larin,,19,6' 2'',190,,Active,187.96,86182.5503,86.1825503
238,11,F,Sébastien Le Toux,Philadelphia Union,31,6',155,France,Active,182.88,70306.81735,70.30681735
239,55,D,Wandrille Lefèvre,Montreal Impact,25,6' 1'',175,France,Active,185.42,79378.66475,79.37866475
240,24,F,Steven Lenhart,San Jose Earthquakes,28,6' 1'',190,USA,Active,185.42,86182.5503,86.1825503
241,22,D,Leonardo,LA Galaxy,26,6' 2'',185,Brazil,Active,187.96,83914.58845,83.91458845
242,25,M,Andre Lewis,Vancouver Whitecaps FC,20,5' 9'',145,Jamaica,Active,175.26,65770.89365,65.77089365
243,30,GK,Michael Lisch,Houston Dynamo,24,6' 4'',175,,Active,193.04,79378.66475,79.37866475
244,25,M,Aaron Long,Seattle Sounders FC,22,6' 1'',173,USA,Active,185.42,78471.48001,78.47148001
245,12,M,Mikey Lopez,Sporting Kansas City,21,5' 8'',160,USA,Active,172.72,72574.7792,72.5747792
246,26,D,Adrián López,Montreal Impact,27,6',192,Spain,Active,182.88,87089.73504,87.08973504
247,10,M,Alexander López,Houston Dynamo,22,5' 9'',155,Honduras,Active,175.26,70306.81735,70.30681735
248,35,M,Daniel Lovitz,Toronto FC,23,5' 10'',170,USA,Active,177.8,77110.7029,77.1107029
249,31,D,Damion Lowe,Seattle Sounders FC,21,6' 3'',175,Jamaica,Active,190.5,79378.66475,79.37866475
